,0,1,2
0,基于交叉图学习的多源异构信息交互与传播技术,数据采集与标注子系统,400000
1,基于交叉图学习的多源异构信息交互与传播技术,多源异构数据交互子系统,550000
2,基于交叉图学习的多源异构信息交互与传播技术,数据可视化子系统,250000
3,基于交叉图学习的多源异构信息交互与传播技术,态势数据分析子系统,300000
4,基于交叉图学习的多源异构信息交互与传播技术,,
5,数据处理与标注,数据采集与融合模块,500000
6,数据处理与标注,协同策略生成算法,800000
7,数据处理与标注,深海战场数据分析模块,400000
8,数据处理与标注,数据更新服务,300000
9,数据处理与标注,,
10,多层次多粒度水下复杂环境图联邦建模核心技术,异构数据采集模块,300000
11,多层次多粒度水下复杂环境图联邦建模核心技术,图联邦建模模块,300000
12,多层次多粒度水下复杂环境图联邦建模核心技术,水下复杂环境数据分析模块,200000
13,多层次多粒度水下复杂环境图联邦建模核心技术,,
14,多层次多粒度水下复杂环境图联邦建模核心技术,,
15,深海作战知识图均衡优化技术,多源异构数据收集,600000
16,深海作战知识图均衡优化技术,数据增强与小样本学习,800000
17,深海作战知识图均衡优化技术,知识图谱构建与更新,1000000
18,深海作战知识图均衡优化技术,定制系统开发,600000
19,深海作战知识图均衡优化技术,,
20,多智能体知识图在线更新技术,海量稀疏数据采集与分析模块,500000
21,多智能体知识图在线更新技术,知识图谱表示学习,1000000
22,多智能体知识图在线更新技术,智能体模型,800000
23,多智能体知识图在线更新技术,增量学习模块,600000
24,多智能体知识图在线更新技术,系统集成,300000
25,多目标优化信息簇协调技术,海量多源数据采集优化,200000
26,多目标优化信息簇协调技术,深度强化学习模型支撑模块,200000
27,多目标优化信息簇协调技术,信息簇支撑模块,300000
28,多目标优化信息簇协调技术,系统部署,100000
29,多目标优化信息簇协调技术,,
30,弱通信条件下基于信息簇优化的资源分配调度技术,通信环境建模与模拟,300000
31,弱通信条件下基于信息簇优化的资源分配调度技术,资源分配模块,200000
32,弱通信条件下基于信息簇优化的资源分配调度技术,信息簇资源调度模块,300000
33,弱通信条件下基于信息簇优化的资源分配调度技术,,
34,弱通信条件下基于信息簇优化的资源分配调度技术,,
35,信息簇和集群联合协调交互推理技术,信息簇支撑模块,40万
36,信息簇和集群联合协调交互推理技术,信息簇、集群联合交互模块,30万
37,信息簇和集群联合协调交互推理技术,模型推理模块,30万
38,信息簇和集群联合协调交互推理技术,,
39,信息簇和集群联合协调交互推理技术,,
40,水下知识图构建功能开发,水下异构数据采集模块,250000
41,水下知识图构建功能开发,面向默契协同的共识理解框架,350000
42,水下知识图构建功能开发,知识图谱表示与构建,200000
43,水下知识图构建功能开发,,
44,水下知识图构建功能开发,,
45,水下集群协同优化功能开发,自适应协同策略生成子系统,300000
46,水下集群协同优化功能开发,水下集群协同优化模块,200000
47,水下集群协同优化功能开发,面向默契协同的共识理解框架,300000
48,水下集群协同优化功能开发,,
49,水下集群协同优化功能开发,,
50,水下集群行动默契策略生成工具开发,集群默契交互框架,250000
51,水下集群行动默契策略生成工具开发,默契策略优化模块,150000
52,水下集群行动默契策略生成工具开发,集群默契建模,250000
53,水下集群行动默契策略生成工具开发,业务系统开发,150000
54,水下集群行动默契策略生成工具开发,,
55,协同策略生成工具集成开发,数据采集模块,250000
56,协同策略生成工具集成开发,知识图谱算法组件,300000
57,协同策略生成工具集成开发,底层支撑软件模组,250000
58,协同策略生成工具集成开发,策略模块,200000
59,协同策略生成工具集成开发,,
60,协同策略生成工具软件迭代,系统热升级模块,200000
61,协同策略生成工具软件迭代,自适应模型更新模块,100000
62,协同策略生成工具软件迭代,系统集成,100000
63,协同策略生成工具软件迭代,,
64,协同策略生成工具软件迭代,,
